ret,vol,sharpe
0.08102723981825245,0.12237110352437741,0.662143573806304
0.12572655706503783,0.17099727386387775,0.7352547454360141
0.07921119102059355,0.1529481084803299,0.5178958524405722
0.048376569940043496,0.2004382322416597,0.24135400416881528
0.0794145548952107,0.16543939586063985,0.4800220315245024
0.10670925804839639,0.29101105225900165,0.3666845544870388
0.10385557633341297,0.18148085238550973,0.5722674043474202
0.10325269824703961,0.2463328965450843,0.41915919349465414
0.11360443804382117,0.20641468229819954,0.5503699483920486
0.06210428736907249,0.13252366920201802,0.4686278892142747
0.07125434975945541,0.19460066540849313,0.36615676318414886
0.11969382627658948,0.1462125872761975,0.8186287412484281
0.07594174138351183,0.16933793151738014,0.4484626728519917
0.12904002889483213,0.20936043226892076,0.6163534699292266
0.11629443161697017,0.1326601180723379,0.8766344648778035
0.08538585210647584,0.2043728657567177,0.4177944649859627
0.12138980936854916,0.13320249121208658,0.9113178609795735
0.12165254148249961,0.2087368766348486,0.582803304541684
0.09632442434100438,0.16371909536127605,0.5883517993331625
0.11199249620065305,0.29050259306320597,0.38551289687209894
0.06775843824452339,0.18046638484023392,0.3754629334682447
0.11868766637816948,0.25654478109625506,0.46263917695382045
0.05462497931088546,0.1325666589447506,0.41205669469011325
0.1050343106630353,0.17461323890130698,0.601525470370558
0.07838017531035606,0.15149246588394427,0.5173866228463252
0.11307720503070728,0.2502953881153627,0.451775024230927
0.10947088377845152,0.19263023905384016,0.568295426077182
0.06638667756226828,0.13254189322274446,0.5008731650656413
0.09394699332858171,0.15390205053115424,0.6104336687155713
0.07715259259383124,0.12056384076923851,0.639931442973045
0.08163558491198493,0.15367769944485268,0.5312129554703537
0.07815746516380037,0.1818182345196532,0.42986593380078236
0.13422312353353075,0.24457334805923542,0.5488051932012724
0.1150763802893915,0.21371982446560858,0.5384450440062447
0.03560094279980806,0.13117680653557082,0.271396626736406
0.07399563135175094,0.1756067833072203,0.4213711449989786
0.11115838682758607,0.198203330500559,0.5608300655032261
0.04771346698938044,0.14865785101779525,0.3209616354784306
0.04214123021225655,0.13223019449267315,0.31869597087064394
0.12378695507808485,0.16008633089561156,0.7732512475334533
0.12429758058100787,0.1563612450765049,0.7949385445235562
0.12163956104425817,0.2096528002108692,0.5801952605541775
0.06744834636907424,0.1891953444178373,0.3565010892663129
0.033481886992920255,0.1536173978435172,0.2179563478026537
0.056511679041140704,0.13275784996234696,0.4256748588288275
0.06517953551222767,0.118008755811987,0.5523279612918935
0.09358196127822457,0.20550269843864588,0.45538069324264396
0.13602384847146104,0.14759271432639556,0.9216162809408707
0.08962373572901677,0.18767119937749924,0.4775572172304355
0.09947338179488792,0.17006177787510532,0.5849249786624126
0.11333197752485215,0.162966844320943,0.6954296623775746
0.1229333264988213,0.2291485321752047,0.5364787866274775
0.1213542782666529,0.26824425404586427,0.45240215376954096
0.10342274198047202,0.1455533340348878,0.710548766651285
0.04084268708041741,0.2619294987768875,0.1559300776397368
0.06371568727437996,0.19659728450422878,0.324092407659931
0.08852662367150306,0.26945928456880536,0.3285343231470584
0.05066334021254384,0.11935466369637111,0.4244772566359652
0.12385927576255089,0.21323572707682556,0.580856113844029
0.09134093704620708,0.1617695271887605,0.564636236709934
