date,open,high,low,close,volume,adjclose
2007-09-19,153.41000366210938,154.38999938964844,152.7100067138672,153.36000061035156,193779900,108.42301940917969
2007-09-20,153.33999633789062,153.42999267578125,152.11000061035156,152.27999877929688,175186800,107.65948486328125
2007-09-21,152.7100067138672,153.1199951171875,151.74000549316406,151.97000122070312,141457500,107.94998168945312
2007-09-24,152.4199981689453,152.82000732421875,151.36000061035156,151.69000244140625,139450200,107.75112915039062
2007-09-25,150.80999755859375,151.66000366210938,150.47000122070312,151.38999938964844,142289900,107.53797912597656
2007-09-26,152.25,152.77000427246094,151.38999938964844,152.19000244140625,135547000,108.10630798339844
2007-09-27,152.91000366210938,153.10000610351562,152.19000244140625,153.08999633789062,102713300,108.74559783935547
2007-09-28,152.85000610351562,153.19000244140625,151.97999572753906,152.5800018310547,133372100,108.38337707519531
2007-10-01,152.60000610351562,154.75,152.5,154.3000030517578,148162300,109.60511779785156
2007-10-02,154.61000061035156,154.64999389648438,153.80999755859375,154.08999633789062,112978800,109.45589447021484
2007-10-03,153.80999755859375,154.41000366210938,153.00999450683594,153.77999877929688,119055900,109.2356948852539
2007-10-04,154.11000061035156,154.25999450683594,153.58999633789062,154.02000427246094,76864400,109.40616607666016
2007-10-05,155.02999877929688,156.10000610351562,154.6300048828125,155.85000610351562,134579700,110.70612335205078
2007-10-08,155.38999938964844,155.49000549316406,154.77000427246094,155.02000427246094,71280400,110.11653137207031
2007-10-09,155.60000610351562,156.5,155.02999877929688,156.47999572753906,94054300,111.15359497070312
2007-10-10,156.0399932861328,156.44000244140625,155.41000366210938,156.22000122070312,101711100,110.96893310546875
2007-10-11,156.92999267578125,157.52000427246094,154.5399932861328,155.47000122070312,233529100,110.43619537353516
2007-10-12,155.4600067138672,156.35000610351562,155.27000427246094,156.3300018310547,124546700,111.04712677001953
2007-10-15,156.27000427246094,156.36000061035156,153.94000244140625,155.00999450683594,161151900,110.10944366455078
2007-10-16,154.41000366210938,154.52000427246094,153.47000122070312,153.77999877929688,166525700,109.2356948852539
2007-10-17,154.97999572753906,155.08999633789062,152.47000122070312,154.25,216687300,109.56957244873047
2007-10-18,153.4499969482422,154.19000244140625,153.0800018310547,153.69000244140625,148367500,109.17176818847656
2007-10-19,153.08999633789062,156.47999572753906,149.66000366210938,149.6699981689453,297169900,106.31621551513672
2007-10-22,148.86000061035156,150.75999450683594,148.66000366210938,150.5399932861328,261989800,106.93424224853516
2007-10-23,151.4600067138672,151.9499969482422,150.25,151.75999450683594,180085100,107.80081176757812
2007-10-24,151.2100067138672,151.74000549316406,148.83999633789062,151.47999572753906,326694200,107.60197448730469
2007-10-25,151.64999389648438,152.2899932861328,149.8800048828125,151.83999633789062,237374500,107.85768127441406
2007-10-26,153.05999755859375,153.6199951171875,151.89999389648438,153.6199951171875,176484000,109.1220932006836
2007-10-29,153.92999267578125,154.44000244140625,153.5500030517578,154.1300048828125,106841000,109.484375
2007-10-30,153.4499969482422,153.75,152.8699951171875,153.05999755859375,132981600,108.72428131103516
2007-10-31,153.97999572753906,155.27000427246094,152.83999633789062,154.64999389648438,220954400,109.85374450683594
2007-11-01,153.2899932861328,153.41000366210938,150.58999633789062,151.02999877929688,333040800,107.2823257446289
2007-11-02,151.52999877929688,152.0,149.2100067138672,151.1999969482422,331228200,107.40303802490234
2007-11-05,149.63999938964844,151.16000366210938,148.97000122070312,150.0500030517578,226841000,106.58617401123047
2007-11-06,150.86000061035156,152.11000061035156,149.89999389648438,152.07000732421875,177800500,108.02104187011719
2007-11-07,150.44000244140625,151.1300048828125,147.5500030517578,147.91000366210938,306639700,105.0660629272461
2007-11-08,147.99000549316406,148.39999389648438,145.07000732421875,147.16000366210938,374509900,104.53327178955078
2007-11-09,145.69000244140625,147.5399932861328,144.88999938964844,145.13999938964844,277745100,103.09840393066406
2007-11-12,145.2100067138672,146.61000061035156,143.6999969482422,143.6999969482422,243087800,102.07552337646484
2007-11-13,145.3699951171875,148.30999755859375,145.22000122070312,148.0800018310547,191117400,105.18680572509766
2007-11-14,149.22000122070312,149.39999389648438,146.77999877929688,147.6699981689453,230558800,104.89556121826172
2007-11-15,146.57000732421875,147.49000549316406,144.52000427246094,145.5399932861328,263111100,103.38250732421875
2007-11-16,146.30999755859375,146.47000122070312,144.57000732421875,145.7899932861328,308770600,103.56011962890625
2007-11-19,145.27999877929688,145.36000061035156,143.19000244140625,143.75999450683594,267746000,102.11812591552734
2007-11-20,144.02000427246094,145.52999877929688,142.11000061035156,144.63999938964844,414767500,102.7432861328125
2007-11-21,143.0800018310547,143.91000366210938,141.6699981689453,141.67999267578125,259012400,100.64061737060547
2007-11-23,143.07000732421875,144.33999633789062,142.6999969482422,144.1300048828125,77688400,102.38099670410156
2007-11-26,144.42999267578125,144.8800048828125,140.66000366210938,140.9499969482422,214232000,100.12206268310547
2007-11-27,141.74000549316406,143.22999572753906,140.9499969482422,142.57000732421875,293897900,101.2728271484375
2007-11-28,144.19000244140625,147.47000122070312,144.13999938964844,147.1300048828125,258596900,104.51197814941406
2007-11-29,146.6199951171875,147.72000122070312,146.10000610351562,147.17999267578125,199409900,104.54747772216797
2007-11-30,149.0399932861328,149.8699951171875,147.3300018310547,148.66000366210938,222908000,105.59881591796875
2007-12-03,148.19000244140625,148.4499969482422,147.2899932861328,147.67999267578125,146430400,104.90266418457031
2007-12-04,146.66000366210938,147.5399932861328,146.30999755859375,146.36000061035156,136533900,103.96501159667969
2007-12-05,147.92999267578125,149.1999969482422,147.8300018310547,148.80999755859375,171130000,105.70533752441406
2007-12-06,148.6300048828125,151.2100067138672,148.57000732421875,150.94000244140625,154457400,107.2183609008789
2007-12-07,151.4199981689453,151.5,150.5500030517578,150.91000366210938,148980100,107.19705963134766
2007-12-10,151.27999877929688,152.25,150.86000061035156,152.0800018310547,123914300,108.02813720703125
2007-12-11,152.13999938964844,152.88999938964844,147.8300018310547,147.91000366210938,250346400,105.0660629272461
2007-12-12,151.05999755859375,151.77000427246094,147.1999969482422,149.3699951171875,322435600,106.1031494140625
2007-12-13,148.32000732421875,149.38999938964844,147.3000030517578,149.05999755859375,237551300,105.88290405273438
2007-12-14,147.92999267578125,149.10000610351562,147.10000610351562,147.1699981689453,159152900,104.5403823852539
2007-12-17,146.61000061035156,146.8699951171875,144.86000061035156,145.07000732421875,177269400,103.0487060546875
2007-12-18,146.10000610351562,146.47999572753906,143.9600067138672,145.8800048828125,245569300,103.62403869628906
2007-12-19,145.94000244140625,146.88999938964844,144.94000244140625,145.8800048828125,198917200,103.62403869628906
2007-12-20,146.83999633789062,146.86000061035156,145.17999267578125,146.8000030517578,214813800,104.277587890625
2007-12-21,147.3699951171875,148.4199981689453,147.08999633789062,148.1300048828125,146084400,105.7807846069336
2007-12-24,148.82000732421875,149.47999572753906,148.47999572753906,149.22999572753906,45601400,106.56629180908203
2007-12-26,148.64999389648438,149.67999267578125,148.5,149.5500030517578,67093100,106.79478454589844
2007-12-27,149.02000427246094,149.02999877929688,147.32000732421875,147.6699981689453,122981700,105.4522705078125
2007-12-28,148.5399932861328,148.61000061035156,146.89999389648438,147.3000030517578,116398100,105.18807220458984
2007-12-31,147.10000610351562,147.61000061035156,146.05999755859375,146.2100067138672,108126800,104.40966796875
2008-01-02,146.52999877929688,146.99000549316406,143.8800048828125,144.92999267578125,204935600,103.49562072753906
2008-01-03,144.91000366210938,145.49000549316406,144.07000732421875,144.86000061035156,125133300,103.44562530517578
2008-01-04,143.33999633789062,143.44000244140625,140.91000366210938,141.30999755859375,232330900,100.91053771972656
2008-01-07,141.80999755859375,142.22999572753906,140.10000610351562,141.19000244140625,234991000,100.82489013671875
2008-01-08,142.0800018310547,142.89999389648438,138.44000244140625,138.91000366210938,326365700,99.19668579101562
2008-01-09,139.08999633789062,140.7899932861328,137.6999969482422,140.3699951171875,301824900,100.23928833007812
2008-01-10,139.67999267578125,142.8000030517578,139.3699951171875,141.2899932861328,335701200,100.89627838134766
2008-01-11,140.77999877929688,141.89999389648438,139.0,140.14999389648438,267076600,100.0821533203125
2008-01-14,141.16000366210938,141.86000061035156,140.39999389648438,141.27999877929688,170365500,100.88915252685547
2008-01-15,139.7899932861328,141.49000549316406,137.89999389648438,138.1699981689453,239940100,98.6682357788086
2008-01-16,137.36000061035156,139.1199951171875,136.27999877929688,136.97999572753906,378802600,97.8184585571289
2008-01-17,137.80999755859375,137.8800048828125,132.92999267578125,133.42999267578125,397892600,95.28340911865234
2008-01-18,134.74000549316406,135.02000427246094,131.10000610351562,132.05999755859375,348561500,94.30502319335938
2008-01-22,127.20999908447266,132.42999267578125,126.0,130.72000122070312,435923700,93.3481674194336
2008-01-23,127.08999633789062,134.19000244140625,126.83999633789062,133.86000061035156,511913000,95.59046936035156
2008-01-24,134.47999572753906,135.4600067138672,133.30999755859375,134.99000549316406,259949300,96.39737701416016
2008-01-25,136.50999450683594,136.75999450683594,132.60000610351562,133.0399932861328,269603900,95.00484466552734
2008-01-28,133.25999450683594,135.52000427246094,132.05999755859375,135.24000549316406,217934600,96.5759048461914
2008-01-29,136.10000610351562,136.4499969482422,134.8800048828125,135.91000366210938,168968300,97.05433654785156
2008-01-30,135.5800018310547,138.5399932861328,134.60000610351562,134.91000366210938,334939200,96.34027862548828
2008-01-31,133.39999389648438,138.5399932861328,133.1999969482422,137.3699951171875,343680800,98.09696960449219
