Assets,Industry
GGAL,ADR Banco
BBAR,ADR Banco
BMA,ADR Banco
SUPV,ADR Banco
LOMA,ADR Otros
CRESY,ADR Otros
TEO,ADR Otros
MELI,Marketplaces
BTC-USD,Cryptos
ETH-USD,Cryptos
BABA,Marketplaces
KO,USA Conservador
VZ,USA Conservador
SQQQ,Shorts
SH,Shorts
SDOW,Shorts
